,CH 1,CH 2,CH 3,CH 4,CH 5,CH 6,CH 7,CH 8,CH 9,CH 10,CH 11,CH 12,CH 13,CH 14,CH 15,CH 16,CH 17,CH 18,CH 19,CH 20,CH 21,CH 22,CH 23,CH 24,CH 25,CH 26,CH 27,CH 28,TTL
38,-25.403725927537,2.328353415645,-11.228586021106,-24.353396825930,6.884912421137,10.464418296617,-43.381475705128,26.081713658830,-20.955003037873,25.599778585931,-1.000225596420,11.715185023457,-35.575144318605,-7.337854138911,-15.861530011586,2.649091565770,18.227615618295,-1.819719668891,-34.152916703766,-20.284204211769,-14.944501007606,-20.518502290698,-0.651052473802,1.402434405511,-8.476276728119,16.652908065683,13.432804037681,33.317597362735,9.288760431119
39,-15.696230341103,6.799487081663,-14.207585515638,-20.951021144466,10.499633307270,15.282415862590,-40.402592342495,16.776215716295,-20.349431936341,23.370433260461,2.567446005201,14.081245914527,-36.888684472503,-4.959116894348,-15.659574423800,11.748672514865,10.688882507819,7.946271678226,-26.496647114389,-20.614457005184,-11.391546881897,-16.973345661827,1.532789812101,-0.690515988388,-2.618735244853,27.067270543772,9.387272484015,31.400519203186,13.253191242730
40,-4.702594566959,14.800850750319,-16.296867139129,-18.151830613783,10.731071826377,17.656747428436,-34.997439842424,9.797786962635,-17.746185196585,18.851065200958,5.496783000534,15.443665285788,-40.696383013952,-1.127235801399,-18.395858990164,22.215758982235,3.004569927814,15.142218859562,-16.705275679315,-19.872688543591,-8.033127977677,-8.623474751369,5.231048398280,-5.013053494209,4.208146792284,31.360882556286,6.012081674784,32.301869440118,18.006236677949
41,5.355401722362,23.756457363007,-12.693058250358,-14.806642704609,7.017718580962,17.784625330719,-27.871011683696,5.990942246427,-13.056262513460,13.920735167742,2.262196954481,19.326282744602,-44.296601791229,0.494680041033,-19.699733021145,30.076798951316,-4.347343827510,18.918467000972,-10.046906959516,-20.359215782266,-4.208356246595,-0.288973018646,7.177609018755,-10.061737493303,7.515790843819,25.091903281908,4.085238029634,31.144514407702,19.127402813245
42,15.613833823884,30.548887444408,-7.089432732231,-13.771465376433,-0.267335098172,16.424478254609,-20.177564202984,4.093845984468,-5.318337675838,10.221599943363,2.593877980857,20.291859009242,-45.014458610832,3.081413257896,-20.019373012912,37.039189307376,-9.798843203709,19.196517418313,-4.229471591673,-22.080863252339,-0.480707479634,6.160646868544,6.583664842775,-9.375029731421,9.395744336716,14.722770650336,2.598019597013,28.577427296520,13.945187155300
43,23.062460090029,30.205670487929,-1.749072916845,-17.562832506590,-9.207977856936,15.719422782058,-12.652401736997,3.407258749536,3.967105626065,6.964483752519,3.614568819378,18.451567438586,-43.896994485393,7.098354500079,-21.100382437883,44.189733214946,-11.009606175239,18.394787298782,2.415817183176,-19.219569325856,3.107901840420,9.868731868890,5.227545900408,-4.907455527430,8.913684597502,6.422431321452,-1.031683730040,27.580652697882,4.270769471727
44,28.096303307686,28.066857560793,-1.066061463990,-20.761683718172,-14.554583265369,16.904519504941,-8.220492549242,4.766173158866,6.802748614825,4.574914249041,4.651455677933,17.031077730708,-43.217828050002,9.301872648020,-20.702484863738,51.641243272321,-9.507656379170,18.939856707164,12.563843124664,-10.372915158870,9.169208723955,11.014085079902,4.451426799925,-1.254914489393,4.224748111283,-1.602808700072,-3.497422356726,30.642798379089,-1.211728991760
45,30.940777856961,25.742237773949,-3.707409785366,-18.273766425900,-15.961708212712,16.824452204408,-4.302799123162,4.719429282346,0.683940019121,1.480936609268,6.393450335858,13.752862078954,-41.664824195753,5.770814703759,-21.133178089528,56.506062091571,-9.056617020388,24.214707363702,26.816676040472,-2.700351503498,15.132770890069,8.926064927129,5.201188205290,0.304608484196,-3.458490017351,-10.566194360234,-5.464775607050,36.520427067423,-1.123279712428
46,30.644399684298,19.058549260832,-6.083672136028,-12.229202180518,-12.042302297738,14.756323316850,0.617429149840,2.009305397062,-2.491053322305,-3.141370601333,4.445662659024,13.218455399442,-40.462090471057,1.159727995629,-20.849241937641,51.348420506522,-8.214933055456,31.785169207422,36.853568376159,-0.704926847425,22.334048822402,3.959531148723,8.936909613729,1.815462120722,-7.664667740808,-14.767857823603,-7.737362859228,39.015595890271,-1.175123462996
47,26.519428522975,8.865875041217,-8.576375994921,-8.687446763945,-4.279225327634,11.945854761442,2.189085267789,1.872896764404,-1.435296674505,-5.801139146112,5.169113560344,16.234386790150,-42.943049662851,0.101615031956,-20.302258855041,41.623443920616,-6.409131183458,39.345730635838,37.304282762206,-2.987491337723,28.667516728677,-1.841238238331,15.691116510293,2.685426667624,-10.268714971838,-10.982598199844,-7.750219291254,37.279747616107,-2.426736044839
48,23.085737909361,-1.883476836099,-7.460806678430,-8.588254958785,4.616424553672,7.675270996151,0.200130408912,4.218019823748,-2.284438023556,-6.576818171214,8.624691207574,16.488560871552,-46.172331944666,-2.049845675569,-18.065939586547,32.753844528782,-5.648227016348,44.664930035880,28.908153656467,-3.056707359763,28.627305451946,-10.178170640258,23.935106017494,2.237628215775,-13.937335430436,-7.541605084942,-6.427393893664,33.283898334837,-4.388100599949
49,20.213538043938,-6.534460711100,-6.132165169048,-9.968822067385,11.161687918112,4.661583386066,-4.422499792895,8.216535792275,-5.546223144779,-3.932563924667,12.490501606921,14.658251400937,-45.992759320205,-4.014084681665,-13.356098433332,25.377064379061,-2.657475895469,45.629030615752,20.577014479283,-2.376439400594,23.388592228928,-18.610347068296,30.235081088143,4.020248525364,-16.580123231677,-9.264166149629,-5.520622106109,29.878005897358,-4.840029308501
50,19.272518585244,-7.099114527734,-4.886594233454,-14.092003831524,11.898782921539,3.445179580242,-8.900495881229,13.246299807146,-9.904203872762,1.047778262915,13.518868074005,15.254213152101,-41.448137178681,-2.381388644271,-9.744398128316,19.089809079758,-0.748114469647,44.251843302865,14.815950681642,-0.847261483004,15.601167311180,-21.873015630959,36.575562676706,6.839476959101,-17.109159071790,-10.879466380243,-4.514425030049,27.691052224478,-0.294264791107
